n_confounds,conditioning_k,precision,recall,f1,mean_margin,min_margin,best_separation
1,1,1.0,1.0,1.0,0.13784505302843583,0.11441582218201526,True
1,2,1.0,1.0,1.0,0.13780802265857847,0.11441582218201526,True
1,3,1.0,1.0,1.0,0.1377984667114472,0.11441582218201526,True
1,4,1.0,1.0,1.0,0.1377984667114472,0.11441582218201526,True
1,5,1.0,1.0,1.0,0.1377984667114472,0.11441582218201526,True
2,1,0.8333333333333334,1.0,0.9090909090909091,-0.03044742616994954,-0.04397819939063322,False
2,2,1.0,1.0,1.0,0.0544411338821848,0.04743129614106228,True
2,3,1.0,1.0,1.0,0.0544411338821848,0.04743129614106228,True
2,4,1.0,1.0,1.0,0.0544411338821848,0.04743129614106228,True
2,5,1.0,1.0,1.0,0.0544411338821848,0.04743129614106228,True
3,1,0.875,1.0,0.9333333333333333,-0.08063471153863734,-0.09805747894711515,False
3,2,0.875,1.0,0.9333333333333333,-0.028483573987082275,-0.041557274737703764,False
3,3,1.0,1.0,1.0,0.03271539671318804,0.02699928857105459,True
3,4,1.0,1.0,1.0,0.03271539671318804,0.02699928857105459,True
3,5,1.0,1.0,1.0,0.03271539671318804,0.02699928857105459,True
4,1,0.9,1.0,0.9473684210526316,-0.1065260753977671,-0.12059394659471841,False
4,2,0.9,1.0,0.9473684210526316,-0.06829604749153832,-0.07861461404920499,False
4,3,0.9,1.0,0.9473684210526316,-0.026303924258903506,-0.0336765347832894,False
4,4,1.0,1.0,1.0,0.022361877475145606,0.017559418333646857,True
4,5,1.0,1.0,1.0,0.022361877475145606,0.017559418333646857,True
5,1,0.9166666666666666,1.0,0.9565217391304348,-0.11670684649322761,-0.1351625606190254,False
5,2,0.9166666666666666,1.0,0.9565217391304348,-0.08657026543505192,-0.10384792274205754,False
5,3,0.9166666666666666,1.0,0.9565217391304348,-0.05608343401375112,-0.07034096853964728,False
5,4,0.9166666666666666,1.0,0.9565217391304348,-0.02253666108632393,-0.03245552873425983,False
5,5,1.0,1.0,1.0,0.015908185582419535,0.010687785985063434,True
